,0
890,D0023-RAMF10
891,D0023-RAMF11
892,D0023-RAMF12
893,D0023-RAMF13
894,D0023-RAMF14
895,D0023-R1MF1
896,D0023-R1MF2
897,D0023-R1MF3
898,D0023-R1MF9
899,D0023-R1MF11
900,D0023-R1MF12
901,D0023-R1MF13
902,D0023-R1MF14
903,D0023-R1MF15
904,D0023-R1MF16
905,D0023-R2MF1
906,D0023-R2MF2
907,D0023-R2MF3
908,D0023-R2MF4
909,D0023-R2MF5
910,D0023-R2MF6
911,D0023-R2MF7
912,D0023-R2MF8
913,D0023-R2MF9
914,D0023-R2MF10
915,D0023-R2MF11
916,D0023-R2MF12
917,D0023-R2MF13
918,D0023-R2MF14
919,D0023-R2MF16
920,D0023-RPMF1
921,D0023-RPMF2
922,D0023-RPMF3
923,D0023-RPMF4
924,D0023-RPMF5
925,D0023-RPMF6
926,D0023-RPMF7
927,D0023-RPMF8
928,D0023-RPMF9
929,D0023-RPMF10
930,D0023-RPMF11
931,D0023-RPMF12
932,D0023-RPMF13
933,D0023-RPMF14
934,D0023-RPMF15
935,D0023-RPMF16
936,D0023-RAIF1
937,D0023-RAIF2
938,D0023-RAIF3
939,D0023-RAIF9
940,D0023-RAIF10
941,D0023-RAIF11
942,D0023-RAIF12
943,D0023-RAIF13
944,D0023-RAIF14
945,D0023-R2IF1
946,D0023-R2IF2
947,D0023-R2IF3
948,D0023-R2IF4
949,D0023-R2IF5
950,D0023-R2IF6
951,D0023-R2IF7
952,D0023-R2IF8
953,D0023-R2IF9
954,D0023-R2IF10
955,D0023-RPIF1
956,D0023-RPIF2
957,D0023-RPIF3
958,D0023-RPIF4
959,D0023-RPIF5
960,D0023-RPIF7
961,D0023-RPIF8
962,D0023-RPIF9
963,D0023-RPIF10
964,D0024-LOF1
965,D0024-LOF2
966,D0024-LOF3
967,D0024-LOF4
968,D0024-LTG1
969,D0024-LTG2
970,D0024-LTG3
971,D0024-LTG4
972,D0024-LTG5
973,D0024-LTG6
974,D0024-LTG7
975,D0024-LTG8
976,D0024-LTG9
977,D0024-LTG10
978,D0024-LTG11
979,D0024-LTG12
980,D0024-LTG13
